gene_id,"(MEAN) Mated females (Rogers et al., 2009) virgin 0h","(MEAN) Mated females (Rogers et al., 2009) mated 2h","(MEAN) Mated females (Rogers et al., 2009) mated 6h","(MEAN) Mated females (Rogers et al., 2009) mated 24h"
AGAP004733,11.4663954724305,10.317513271616601,12.045591709649097,10.814212104574636
AGAP011045,51.088916709064435,52.29036969428696,49.025673168582365,47.9531377481086
AGAP004735,9.210503164044976,10.315558314621189,9.9445540030392,9.838942892138604
AGAP004736,208.154392282842,200.18729563877108,229.06712782992344,202.40764024689696
AGAP004737,200.95656625552226,216.1326511032323,218.2604137713579,179.2695378906825
AGAP004738,172.77012147445902,160.9341355900877,196.72546933607336,193.02670043666438
AGAP004739,2735.237572093096,2802.1142610247593,3117.052135069861,2473.7202815805535
AGAP028446,,,,
AGAP011516,447.22122701421483,524.1320266063165,489.84442038391086,331.4812237133449
AGAP004741,,,,
AGAP004742,1652.5173574199507,1556.11544550653,1462.2086741770938,1907.8076272957408
AGAP004743,1196.7451549932357,1080.4874875447242,1649.9039221525916,1246.8739404105474
AGAP004744,2976.033951694926,2809.9264052617614,2522.898761693461,2490.6100949739957
AGAP004745,98.9563268539399,84.40942579166605,96.56182828647667,92.01461024794439
AGAP007899,116.65706520836598,109.72282148786218,143.78041253599304,121.33904411191698
AGAP006680,67.74194416274767,64.94065253340108,64.16620793928261,65.02232819042489
AGAP004748,415.8991513742812,446.56718172450724,527.7984373259397,405.68139380862584
AGAP004749,291.06649792488645,265.98174277126964,327.80937287590933,260.52171395728277
AGAP005105,21.818347766244774,20.561402821002154,23.307138298981073,19.960277168893477
AGAP005566,37.94308218191994,32.07520667130802,44.97474666704563,37.827933381404755
AGAP002534,1600.3256351114728,1519.7308349544357,1564.55155107819,1625.1982039683244
AGAP004752,319.98380252800257,293.46876057667237,400.3718124942534,274.235848430385
AGAP028223,802.8795433055637,713.3107367802832,1020.3015618628535,860.0261136858217
AGAP029681,179.42350081494186,165.47198625692258,156.4480615572523,179.79512030871476
AGAP029666,211.27502618303103,194.3053987032361,186.79949401627078,203.1591679198561
AGAP013089,54.713698453024136,54.207472887595415,48.68908376495532,58.28193546278073
AGAP007779,99.76245659118133,100.98799326209101,100.74958074702758,109.17459341061506
AGAP004755,65.05621048801615,63.43292866200432,73.57616776572324,60.15377351345097
AGAP005738,130.0948548053166,144.64140283610922,175.7031931203527,126.3597639581804
AGAP004756,129.35213749656077,101.29155213257268,132.57669092876225,123.51306675836467
AGAP028398,,,,
AGAP004757,,,,
AGAP004758,199.37696728094522,203.498342144479,212.51634183801852,193.07399184535225
AGAP004759,,,,
AGAP012084,298.7547123250765,288.83930919677357,310.5029586262205,262.14748977604484
AGAP004762,133.32143446307273,145.34455731669914,113.39684083232721,168.59718276187766
AGAP005120,136.23136019905908,143.6588865872917,150.2453669867076,147.36702772071328
AGAP010837,114.56678056166184,95.43059317631358,102.6822664515914,125.5881550105835
AGAP004766,161.7063575687442,146.67907022963198,179.0748827233362,155.8553700343674
AGAP011446,58.10270063200581,60.61366178584405,66.13408993922556,68.07028929468494
AGAP008035,35.06055017178102,36.06856312376891,34.404954436000146,38.23456703222698
AGAP029419,,,,
AGAP009315,47.877552217988224,48.30006722762366,45.46370064442003,44.6704835955467
AGAP029293,19.688686320014064,20.834895327707798,20.392357576605473,24.54470511723792
AGAP005302,58.92752895867461,62.809458528144205,59.546301002591605,64.97607078785575
AGAP011491,88.60462151857665,81.83786436521538,78.81654708652755,80.25466167559576
AGAP000192,,,,
AGAP000196,53.69924826602747,51.27557788083721,55.77371071929745,54.575943409386994
AGAP012404,346.7916469359626,344.71894642746946,340.46124001463124,369.9825094050495
AGAP004775,273.49583660830876,293.97571533425844,254.8409559277283,309.44950543631916
AGAP006668,,,,
AGAP012739,,,,
AGAP004778,250.16647594160906,247.64330822228678,306.0322214854916,294.33524886362636
AGAP002439,616.1018228880289,649.7735614456092,678.8661667353307,690.6255193153323
AGAP029703,,,,
AGAP011440,112.76964684645202,114.20089484036572,125.45563078537997,101.34960971869597
AGAP006930,43.552691978368074,41.565172160549395,44.56080075672066,39.56419274147705
AGAP004562,68.31804987530357,65.71815568796391,65.134045063215,48.010790196385756
AGAP004784,114.2503521630588,117.90900757771365,119.34685159686343,108.83433350172551
AGAP004638,1197.3671085521228,1173.796674031384,1044.577175306195,1231.555987468776
AGAP004786,,,,
AGAP004787,315.6331554689251,377.4355667286102,345.74147791448564,336.0215523743016
AGAP028747,53.86962040213445,59.27998917156967,50.95764358415123,58.0839093343544
AGAP004789,,,,
AGAP011146,185.05466071129695,192.43423963072104,194.11106180287123,191.3718743027336
AGAP004791,,,,
AGAP004792,259.06582089124646,212.50046426679685,205.6199910970945,207.4228545943573
AGAP004793,152.8666598882222,132.84712527842845,168.62094156316823,127.80967845183929
AGAP004794,421.4595028224614,450.93011838209645,468.48743481074115,389.1565207340194
AGAP002966,37.07590422146691,36.81903377274605,40.177522204895624,34.05056334977515
AGAP004797,128.76574167253386,140.2794499952047,149.20134201765828,139.72408033727288
AGAP004798,443.9143322052805,404.2642706667582,554.4863729720863,359.6429748463481
AGAP004799,1208.83356555858,1365.8027040790864,767.0816693662582,714.8615354352709
AGAP007198,62.05884648509941,55.32348729592886,50.005564660402946,59.17490004795864
AGAP004801,65.79118800974189,55.7217381082931,60.60269085745085,64.67935012107866
AGAP004802,777.9588074553172,682.4138409689318,750.4194483920252,528.6600945440897
AGAP004804,87.95171838630662,88.68532502937752,95.56408621166318,86.78697019039475
AGAP004806,106.73872217048533,114.49334325817232,98.12711972749315,125.04556014336269
AGAP004807,,,,
AGAP029785,,,,
AGAP005068,28.707084513195447,26.062674122514096,26.002945813877194,32.113914681829705
AGAP004809,188.8700598457429,350.3654024821779,64.15930504899302,898.4554374756806
AGAP004810,30.95187880964011,31.984480860830086,27.843139080227928,38.862675808796745
AGAP004811,9.939443431629817,11.169969303468267,10.779661682526495,11.552714970430564
AGAP029538,96.29573349949813,87.44973619870184,93.54054971266126,93.91569635554197
AGAP004608,67.41393875064867,51.0476728773287,58.00907019522356,61.85249506187802
AGAP004813,,,,
AGAP004814,17.907970541263502,19.425772608175553,16.784100203052645,17.04354224297046
AGAP004815,,,,
AGAP004816,,,,
AGAP012194,62.33087075247176,60.00947153869907,59.75378931190543,65.42937705809916
AGAP010959,180.5982329850441,162.14230485135636,169.67498072383958,186.51181902944498
AGAP004819,1430.6175702603812,1389.4308980537603,1695.911334889378,1480.2227402227436
AGAP009507,601.7831648587063,567.0437725177204,642.1411411333296,642.0135272129778
AGAP009969,,,,
AGAP012017,88.05542734551011,87.84165695451455,90.07656953929951,95.50449213369365
AGAP009211,19.029027634281054,20.222367119640293,20.47966356255962,24.377924784253796
AGAP029246,36.96915199510304,33.94977266988147,33.7477655516877,41.50011393075015
AGAP004826,,,,
AGAP004829,24.582163275552233,29.30408463921969,27.981602004015624,26.291295295963476
AGAP003556,15087.850859678356,14565.153242984941,14543.294597978025,14793.062771166082
AGAP004832,11.675560711395233,11.864258485515695,11.070025221585185,12.51679487180011
AGAP004471,118.13806148407218,110.92840332218766,140.72143845441536,123.64227888162208
AGAP005606,75.40282523006941,64.93670087958418,69.70348732250106,68.54001340948487
