gene_id,"(MEAN) Desiccation stress (Wang et al., 2011) No desiccation stress","(MEAN) Desiccation stress (Wang et al., 2011) Exposed to 70% RH 18hr","(MEAN) Desiccation stress (Wang et al., 2011) Exposed to 70% RH 36hr","(MEAN) Desiccation stress (Wang et al., 2011) Exposed to 30% RH 18hr","(MEAN) Desiccation stress (Wang et al., 2011) Exposed to 30% RH 36hr"
AGAP006514,86.55558341642005,84.21220702733103,83.90675192435533,84.7185670889446,88.4097316459693
AGAP004893,537.5601782868104,577.4130913091656,832.2553533060601,702.5672046974785,790.2744168118766
AGAP004895,97.73104901077672,66.62827662873913,80.71738409823993,89.87792958042452,87.04402067802904
AGAP008794,326.6341228106249,356.23057155562367,371.0309744809128,341.7276899916007,375.5670398707983
AGAP004897,,,,,
AGAP004899,,,,,
AGAP004771,,,,,
AGAP012093,129.31939267388069,149.39363744629682,184.08330530871524,221.03444838171677,265.4788940401238
AGAP004903,2133.2321339480723,2933.1292899889327,3194.9992784056076,2755.551050392276,2774.8614046992775
AGAP004904,1274.7069676015403,1278.1131970770766,1716.8224364695373,2280.4453316047266,2965.1717165419477
AGAP004823,67.72674306277787,61.43834535071091,65.23299737625463,72.23863413763384,80.30994246368311
AGAP004906,3085.898746265404,2995.9025051796775,3226.713340682621,2788.2130736268573,2735.900315102108
AGAP004907,83.31778206706429,78.51832649211732,92.76186976446867,85.53690086721834,88.29602784500942
AGAP004908,62.70690649097628,57.77886347944133,60.271222850512565,57.98398447066441,55.7130520814368
AGAP004909,740.4404566432544,824.4567292028092,804.6888571342272,646.3558023021271,556.6577567840002
AGAP004910,128.08764645904566,164.1581433664274,144.50544493772128,142.07830822357477,140.35402460314984
AGAP004911,,,,,
AGAP004912,354.87451942201614,325.540941629936,373.52737561848323,297.8655656143596,269.15995671024314
AGAP004913,18.575317741612743,18.58932565505688,17.58925664517949,18.368379765717943,20.894772779130594
AGAP004914,54.072474223638864,55.15873910534496,48.08824568926953,51.18316735643538,55.31606390639907
AGAP008436,40.372403847755315,45.434140442440416,44.46713496000374,43.40336331677032,42.531209626471664
AGAP004916,,,,,
AGAP004917,,,,,
AGAP004918,,,,,
AGAP004919,8624.350821970243,9600.040986739472,8668.549658994603,9440.187897911646,9240.360293946775
AGAP011038,66.15381719919677,62.900628482466416,64.47654310211452,62.55236373441242,65.41471293774593
AGAP013390,,,,,
AGAP013228,1743.8073143905715,1916.9541825777183,1797.872378725151,1265.528980433472,838.0833364351711
AGAP004922,,,,,
AGAP006759,55.14162742838745,59.88644213662534,57.212066010276146,61.79293126801657,62.76086512017493
AGAP005216,756.454697607194,714.8997735304808,790.0785841458477,732.832636668983,756.4652818962644
AGAP004929,400.82326885037537,544.9394892767513,505.2592511680898,472.7651770061166,439.8873437448482
AGAP008783,740.1865934546871,1569.7565752325786,1469.4902179474796,976.7242581228414,647.24430459126
AGAP008989,87.8674894664166,75.79548840925334,78.94077572078791,80.42292750153703,92.68131629920487
AGAP006347,64.72468676007828,61.460212586231236,64.07827226767141,61.05108737371275,61.10769969892718
AGAP007932,134.26249117018298,124.38682968289348,139.91263512702974,124.17664702879684,137.20223017622897
AGAP007378,80.69417043693572,97.9246401154866,98.79234789623112,84.01252180427308,67.01706666068192
AGAP012040,72.95310567106509,114.94938610176624,83.18015054730769,99.89220023186307,88.56429976290528
AGAP003498,74.47103715858265,74.90525298481441,71.97685352612312,75.9354252545341,75.35336298784354
AGAP004941,15.456267168295359,14.02156055955096,13.422905336070887,15.393425635475628,16.15266165031955
AGAP004942,132.11563465637357,145.8379652764302,141.79347957317367,143.51871729000126,152.6975697546057
AGAP004944,274.52121047336914,242.22684490000597,324.03622585604785,332.14371776110823,392.06574008785105
AGAP008353,100.77262946624398,108.81708343242335,107.10939358539527,106.80311708825226,110.67699725253419
AGAP004973,,,,,
AGAP004947,,,,,
AGAP000477,67.21383055279183,69.94862131081389,67.85767303003148,65.68843804025369,67.98085666062128
AGAP004949,312.91454917474357,235.69790434160615,273.5475023691672,258.1883307684002,275.159935433936
AGAP003576,296.14502028156227,447.20725876699225,386.587191929834,376.4886404976222,376.5035939194485
AGAP004951,21.453296050095748,23.190950337409152,23.45628142796599,22.426886850597402,24.039695431954343
AGAP004952,818.5533127958491,1114.4530621537722,961.3213661628955,807.6827890169004,1116.0765055251347
AGAP004953,182.9359684326287,205.53478170753064,190.93430055788596,202.5537930280336,176.7334866744726
AGAP004954,674.0397633470207,1032.604847118431,969.4567095839064,1045.5400638467463,671.777646846378
AGAP004955,3538.0774886599047,3404.435370225196,3017.891493052294,2982.8480055015507,2728.5777535586826
AGAP004956,312.3349040071916,322.47981110343125,227.13519778855655,235.55334221319166,199.38824714852137
AGAP004957,174.99198719710705,310.8370948635595,178.80179764541134,218.58112090696392,200.84750129789768
AGAP004959,328.92393290244087,403.1728951096111,363.536139540167,335.6339687911966,364.31182770917286
AGAP004960,2064.4975341323075,2188.687080655406,1849.2185186266163,1937.5930903206,1528.710906438958
AGAP004961,75.10567312197455,59.38832701572263,72.36849996468212,70.34605429695019,72.82591753967588
AGAP003437,130.82436671029308,136.63634817234933,140.67429977675513,137.16039177725077,152.51773563079988
AGAP003611,51.99803118366424,54.9223855845609,60.72789924866337,71.31890107010713,88.00681779353292
AGAP004964,,,,,
AGAP004965,281.114174164245,316.71631289900637,279.03455887964066,209.2759344313762,222.97478227278813
AGAP004968,56.66289766540223,53.729220665378755,56.463145230951,59.21035370895276,52.40430167490735
AGAP004969,61.11713197755986,59.909476379098535,55.37910749854667,58.575076696504375,62.8406611817103
AGAP003446,128.4499448863003,148.25506122273669,135.64457546310092,147.47558808965755,149.6228458163637
AGAP004971,40.533420350027654,41.64532043243152,40.46808212791599,48.48763565797169,48.32440255216894
AGAP003578,423.3729409362992,701.8176780767941,691.7036538029055,555.6441533342236,516.6630716522174
AGAP012778,56.01756803400998,56.71014500133297,58.49281519638327,58.01222104419773,63.607568669268716
AGAP004974,13.43398178707296,14.627156716962991,17.035620517216046,16.625403623752593,15.229218293972565
AGAP004975,42.02672023914547,48.47099946965297,43.87743790137467,42.394714413023685,36.99469439680323
AGAP013107,,,,,
AGAP013291,419.3511935447245,411.3755796615269,426.79813714832494,403.8301826873676,402.3973368803199
AGAP004977,470.3725423015149,481.0039585962027,531.0458628402815,233.85370732215375,75.26601963764024
AGAP004978,149.23349394625373,348.5302634824067,155.54411743443762,155.88950121260208,54.379211828470865
AGAP004979,,,,,
AGAP013488,704.5362084045734,744.2612026984365,573.6075344389909,633.1078852644905,621.0563433283573
AGAP004981,88.38839312850416,105.15436012098473,87.6319462211994,83.1553696749865,54.754538051505065
AGAP012362,182.2070458188282,238.2293856960338,198.15971204134888,196.38962829427354,179.38723088694252
AGAP005674,515.8909020627608,353.7067453665275,432.5910532824741,348.5821631904278,362.8351289081948
AGAP004984,288.0159868358036,336.0105206599634,318.0418222445877,257.9616073778227,240.89766274546685
AGAP010624,1426.263631712589,2169.204149678367,1918.050606397275,1971.3591214794048,1997.6205050463109
AGAP004986,2355.9615519493827,2585.226679395575,2793.580774288648,2485.120650895072,2603.795194067491
AGAP004987,2736.8255264476848,2974.409195116495,4099.265989569098,2490.8329088797177,2070.743794614307
AGAP004988,3728.3589560123373,3561.637716074616,5193.081097352055,3536.974346639526,2986.003187118956
AGAP002760,96.2785534568031,110.19289432627966,95.09104397267672,104.121555023617,95.93376229070643
AGAP004990,2091.648669962595,2605.3516247040707,2867.6436853753794,2529.6989148221146,2712.7053172583032
AGAP004991,2195.486381219989,2160.61299929082,1903.3167769354857,1840.2039578435224,1984.4634285739469
AGAP004992,728.5063038868875,793.1171090431893,795.5616518762458,732.674003436342,583.871405850782
AGAP004993,743.0406700154572,603.5120740295754,712.3716366987659,738.211308058898,471.20575199915834
AGAP011643,124.31853037587244,119.43008609077391,127.62790755435692,128.388972628508,131.5566141368859
AGAP004996,23.06874214316381,22.037328926740717,22.467809630042986,23.39085065470418,23.737400501089958
AGAP004997,,,,,
AGAP004998,,,,,
AGAP004999,,,,,
AGAP005001,13.032346578561777,13.447117245658129,13.728908278889842,14.269521315973881,15.00082585621796
AGAP029777,172.10290735755368,161.32779588019358,168.40864702863107,195.688819222601,202.80272087967364
AGAP001710,152.97145352113714,165.65495303483934,154.3383242013624,170.4998020430878,164.60887939045398
AGAP000767,93.30645720031647,93.84302852436888,96.89631907110025,102.04770980663626,103.67972072314637
AGAP005004,137.2971080068883,136.05842022923468,147.3460850820677,120.83105377209121,110.33728795916917
AGAP028006,139.55717288953048,154.84971955975752,156.83215667524462,205.8043976506786,219.24091140427427
AGAP011758,53.37861823195793,66.46037908662612,58.503763500851626,60.49514855026823,59.276978437146774
AGAP005007,183.04283146090353,224.32397626187276,166.40645369760438,163.1499775856565,156.3855407010091
AGAP004574,96.89077871828816,89.57194942980065,105.04200369161669,75.74546081869387,95.43919392257627
AGAP005009,620.9050601680237,714.8187905519699,573.1027421612688,518.9115817597551,244.4089374836433
AGAP011040,,,,,
AGAP012027,,,,,
AGAP005012,,,,,
AGAP005013,,,,,
AGAP029169,37.322402744537285,31.81339615321674,35.89223711274271,54.43725920238859,58.616299209622206
AGAP004265,75.63213595174052,106.0460866657668,81.99292921611448,89.55843563663889,80.54408187310686
AGAP003204,60.900197681422256,53.495845176890384,57.66634162282196,56.55107248821423,57.89860446020971
AGAP005018,197.60970938053197,236.42968538167284,219.86398782255588,215.52365737220538,214.5460327945589
AGAP008324,270.5188048787502,273.996248117605,297.6725675893984,287.8832209966569,328.06018370869714
AGAP001343,65.27370317621879,65.76485984035621,75.50419926856144,181.90766871424728,227.67569139433658
AGAP005021,,,,,
AGAP005022,,,,,
AGAP005023,,,,,
AGAP005024,,,,,
AGAP005025,,,,,
AGAP005026,,,,,
AGAP005027,,,,,
AGAP005028,,,,,
AGAP005029,255.1393523116198,260.0459115877922,267.04873869693495,249.81479010992788,261.8989811420846
AGAP008161,,,,,
AGAP029728,85.41070517279763,117.07161626288357,86.92670286320288,92.11010355069448,84.7777200490143
AGAP010057,655.5877050341063,346.8447203729517,452.20674158519137,350.0627732309639,372.24061718193974
AGAP007985,84.62055718180659,86.84381794867367,89.51096873941887,87.5719824212316,87.54725552913348
AGAP011740,413.5778671888681,395.9693092092327,380.2415583079196,305.52997288321956,295.38784986834156
